Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2015-01-02,24.192602157592773,24.65950423811587,23.754465939878138,24.648439535677543,212818400
2015-01-05,23.511062622070312,24.042136374239757,23.325187737341313,23.962475227002493,257142000
2015-01-06,23.51327133178711,23.7721691658831,23.15258296070491,23.57522961465761,263188400
2015-01-07,23.842979431152344,23.94255500406204,23.610634176714214,23.72127445249682,160423600
2015-01-08,24.759084701538086,24.816618126764887,24.053199089993452,24.170479219019555,237458000
2015-01-09,24.785633087158203,25.06002047662429,24.387327450645735,24.931677361721775,214798000
2015-01-12,24.17490005493164,24.922827705158852,24.075324482860438,24.916189558785653,198603200
2015-01-13,24.389541625976562,24.960445829902344,24.099664655994744,24.65729087939062,268367600
2015-01-14,24.296607971191406,24.449290420951467,24.00894254649171,24.12843426037142,195826400
2015-01-15,23.63718605041504,24.354134491977135,23.601782043642775,24.340858200467093,240056000
2015-01-16,23.453527450561523,23.80536443937961,23.278715595370205,23.683659448981608,314053200
2015-01-20,24.05762481689453,24.112944961639695,23.566381661439586,23.86289682691998,199599600
2015-01-21,24.241283416748047,24.575415810890004,23.95804291228469,24.108513744434763,194303600
2015-01-22,24.871929168701172,24.887418736564726,24.27889734612524,24.39838902174535,215185600
2015-01-23,25.000276565551758,25.17066184134601,24.67941876430255,24.849805728333372,185859200
2015-01-26,25.026823043823242,25.305636933511266,24.960439909864487,25.168442422151983,222460000
2015-01-27,24.150556564331055,24.88963440186182,24.126215571319666,24.8763564222506,382274800
2015-01-28,25.5158634185791,26.13766300317951,25.5158634185791,26.02923430226332,585908400
2015-01-29,26.310260772705078,26.37443234220827,25.571182772424184,25.739356482562314,337745600
2015-01-30,25.925233840942383,26.55366988452238,25.856635712406298,26.199621290376125,334982000
2015-02-02,26.25051498413086,26.3700067016786,25.68625050976509,26.122173528901243,250956400
2015-02-03,26.254940032958984,26.352302335998324,26.02480803700248,26.221747609729693,207662800
2015-02-04,26.456302642822266,26.666520183230848,26.179701948787283,26.221745794516334,280598800
2015-02-05,26.64512825012207,26.709553057772496,26.491841580371098,26.662899266622944,168984800
2015-02-06,26.42076301574707,26.714006091744032,26.314128399521028,26.662909949721197,174826400
2015-02-09,26.596263885498047,26.62292126746555,26.309685165049736,26.336344241916905,155559200
2015-02-10,27.107215881347656,27.136096970685305,26.69401122096662,26.69623153945443,248034000
2015-02-11,27.742578506469727,27.751464865884806,27.213852833020667,27.27383364044776,294247200
2015-02-12,28.09358024597168,28.320178159043575,27.89586342284208,28.004718352510146,297898000
2015-02-13,28.23130989074707,28.27573997999538,27.91362983741381,28.27573997999538,217088800
2015-02-17,28.397930145263672,28.6311923911294,28.195769306193434,28.322396946689228,252609600
2015-02-18,28.59564781188965,28.6089765023717,28.313511434089126,28.353499200434882,179566800
2015-02-19,28.535663604736328,28.664513254672688,28.50900622536984,28.54232794957795,149449600
2015-02-20,28.768924713134766,28.768924713134766,28.446802295850947,28.573428232665083,195793600
2015-02-23,29.546470642089844,29.546470642089844,28.804477380870498,28.884452925719273,283896400
2015-02-24,29.36206817626953,29.679749882020854,29.139914369936434,29.533127556289475,276912400
2015-02-25,28.611190795898438,29.235445917012076,28.469012477697827,29.226557865362885,298846800
2015-02-26,28.973310470581055,29.073279044996656,28.12690467616986,28.611198538351825,365150000
2015-02-27,28.53788948059082,29.00663431225127,28.489015354840497,28.880004971043817,248059200
2015-03-02,28.677837371826172,28.942200974389138,28.502337335981014,28.713382798513294,192386800
2015-03-03,28.73782730102539,28.773372736921615,28.455690912023037,28.64896710108417,151265200
2015-03-04,28.55565643310547,28.782254325481713,28.506785701219396,28.680065445448587,126665200
2015-03-05,28.082475662231445,28.602314981152542,27.93807528645344,28.56454922445823,226068400
2015-03-06,28.12468719482422,28.740052835076423,28.049155672187474,28.524563251824574,291368400
2015-03-09,28.24464225769043,28.78447791228204,27.78256181176065,28.426808359176277,354114000
2015-03-10,27.660381317138672,28.262418155621695,27.502652258634235,28.082474047098263,275426400
2015-03-11,27.15608787536621,27.718136880404018,27.12720848319452,27.713694548877402,275756000
2015-03-12,27.64704704284668,27.74701729622156,27.020573228981956,27.171637920724486,193450800
2015-03-13,27.455997467041016,27.85809714605445,27.23162326651431,27.635943264020362,207309200
2015-03-16,27.75812530517578,27.75812530517578,27.296046544920685,27.520420732700014,143497200
2015-03-17,28.222429275512695,28.284632091074627,27.913635516187682,27.969173986496493,204092400
2015-03-18,28.540103912353516,28.693390603335025,28.073581190335037,28.213537498470796,261083600
2015-03-19,28.324615478515625,28.713384710573685,28.302400432806465,28.602307787128524,183238000
2015-03-20,27.96916961669922,28.524552538116783,27.804776244841232,28.491230817057243,274780400
2015-03-23,28.260194778442383,28.40237312558268,28.106908059378792,28.240201742859963,150838800
2015-03-24,28.144672393798828,28.444578063759085,28.115791307952733,28.264635678722573,131369200
2015-03-25,27.409339904785156,28.173549649385247,27.409339904785156,28.111346845968825,206620800
2015-03-26,27.600391387939453,27.7425697036676,27.236059242023675,27.27160466840532,190291600
2015-03-27,27.38046646118164,27.702588918059213,27.304934953461245,27.673709523030762,158184800
2015-03-30,28.07358169555664,28.08024603964981,27.54707647850533,27.558184848593484,188398800
2015-03-31,27.642606735229492,28.100243175381227,27.62705603177481,28.01138128639751,168362400
2015-04-01,27.602609634399414,27.795884050453814,27.34713242556401,27.729237232531887,162485600
2015-04-02,27.840322494506836,27.893638947918962,27.58928923541274,27.77589766980492,128880400
2015-04-06,28.291296005249023,28.32684143925686,27.620392039897094,27.65149344720416,148776000
2015-04-07,27.99361228942871,28.46235544029756,27.986947943880292,28.355722521723493,140049200
2015-04-08,27.902528762817383,28.080252556075337,27.762572419684044,27.95806723634803,149316800
2015-04-09,28.115795135498047,28.12023916234062,27.693704110033863,27.958066080579393,129936000
2015-04-10,28.235755920410156,28.260192981167595,27.82699362210292,27.98027863651839,160752000
2015-04-13,28.180221557617188,28.56232822738355,28.126905096791532,28.517894736045996,145460400
2015-04-14,28.058034896850586,28.27796675701111,27.971395021790396,28.213541930317717,102098400
2015-04-15,28.1646671295166,28.242420644379937,27.99360939681727,28.082471283046583,115881600
2015-04-16,28.029146194458008,28.23574930845471,28.01581750803857,28.053583249493034,113476000
2015-04-17,27.713699340820312,28.022493129747293,27.64927450569817,27.89142314080552,207828000
2015-04-20,28.346832275390625,28.462351537154245,27.806998326302168,27.895860209527733,188217200
2015-04-21,28.19355010986328,28.48012712747022,28.140231957606513,28.457913773045995,129740400
2015-04-22,28.573434829711914,28.62897330723183,28.062481853468558,28.21132456644598,150618000
2015-04-23,28.80669403076172,28.9733094454926,28.466798855894666,28.502344291255753,183083600
2015-04-24,28.942201614379883,29.01995681325253,28.70893940756047,28.988855411663177,178103600
2015-04-27,29.468706130981445,29.57534241704705,29.135475364073407,29.393174637367302,387816800
2015-04-28,29.004409790039062,29.888581275967137,28.784479620133364,29.870811948737703,475696000
2015-04-29,28.577865600585938,29.233218653361124,28.502334119747704,28.915540336413095,253544400
2015-04-30,27.80255889892578,28.57787547888214,27.675931252944945,28.57787547888214,332781600
2015-05-01,28.646739959716797,28.908883280787258,27.835879715578056,28.013601789062115,234050400
2015-05-04,28.591203689575195,29.00663375040625,28.49345543996789,28.768927471606737,203953200
2015-05-05,27.94695472717285,28.535661067838543,27.942510701073854,28.469014235548403,197085600
2015-05-06,27.771453857421875,28.15800109012273,27.4048996580972,28.115791315351583,288564000
2015-05-07,27.94322967529297,28.126156702399538,27.66660698885533,27.833918356403263,175763600
2015-05-08,28.469701766967773,28.469701766967773,28.132847750663366,28.260004316794557,222201600
2015-05-11,28.179697036743164,28.456318032718876,28.02577002755684,28.41839452963739,168143200
2015-05-12,28.079309463500977,28.304620877619083,27.845072870312944,28.01907641863355,192640000
2015-05-13,28.110544204711914,28.37378085400866,28.079312882081744,28.141775527342084,138776800
2015-05-14,28.766401290893555,28.766401290893555,28.36708631302993,28.42285677051672,180814000
2015-05-15,28.726253509521484,28.886872729113342,28.60132820627431,28.79317875167796,152832000
2015-05-18,29.043020248413086,29.161253330755034,28.63478014366407,28.639242732797204,203531600
2015-05-19,29.016260147094727,29.196955915182777,28.92033317398627,29.154569815713398,178532800
2015-05-20,29.014019012451172,29.219253864567587,28.853399840541243,29.000634648785045,145819600
2015-05-21,29.310728073120117,29.364268949738317,28.962720885000174,29.016261761618374,158921600
2015-05-22,29.567270278930664,29.663197255447688,29.312957077037073,29.357576175301336,182384000
2015-05-26,28.91585922241211,29.649800184525905,28.804318332458095,29.58064537738767,282790400
2015-05-27,29.45572280883789,29.50480108287714,29.011792153608145,29.076484385409774,183332800
2015-05-28,29.397714614868164,29.435638106308428,29.246020649107116,29.415561564479628,122933200
2015-05-29,29.063098907470703,29.32410422543376,28.978326727566014,29.275025953274035,203538000
2015-06-01,29.121105194091797,29.310726141151616,29.01179725864526,29.063105134547904,128451200
2015-06-02,28.99171257019043,29.147869151254092,28.848940352652487,28.969403028342118,134670400
2015-06-03,29.02740478515625,29.210333508028192,28.97832651335931,29.147870871915426,123934000
2015-06-04,28.85786247253418,29.13002254734294,28.75747634093119,28.906940742021543,153800400
2015-06-05,28.699474334716797,28.93148133012239,28.634782105665426,28.889095240348773,142507200
2015-06-08,28.509857177734375,28.824403359791514,28.293467540769548,28.755245136506716,210699200
2015-06-09,28.42508888244629,28.572323720209546,28.02354257414362,28.264469678333445,224301600
2015-06-10,28.750791549682617,28.853407300291966,28.52101580147365,28.5366314637811,156349200
2015-06-11,28.686098098754883,29.040797470590476,28.66155895582516,28.817715590850955,141563600
